表内序号,五要素,表名,字段名称,字段描述,字段类型,长度,内部标识符,中文名称,标识符,数据类型,表示格式
18,案(事)件要素,JJ_WFJL,XZQH,行政区划,VARCHAR2,6,DE00070,行政区划代码,XZQHDM,字符型（string）,c6
19,案(事)件要素,JJ_WFJL,WFDD,违法地点,VARCHAR2,5,,,,,
20,案(事)件要素,JJ_WFJL,WFDZ,违法地址,VARCHAR2,128,DE00075,违法地址名称,WFDZMC,字符型（string）,c..100
21,案(事)件要素,JJ_WFJL,WFXW,违法行为,VARCHAR2,5,,,,,
22,案(事)件要素,JJ_WFJL,WFJFS,违法记分数,NUMBER,2,,,,,
23,案(事)件要素,JJ_WFJL,FKJE,罚款金额,NUMBER,6,,,,,
24,案(事)件要素,JJ_WFJL,FXJG,发现机关,VARCHAR2,12,,,,,
25,案(事)件要素,JJ_WFJL,FXJGMC,发现机关名称,VARCHAR2,128,DE00065,发现机关单位名称,FXJGDWMC,字符型（string）,c..100
26,案(事)件要素,JJ_WFJL,CLJG,处理机关,VARCHAR2,12,,,,,
27,案(事)件要素,JJ_WFJL,CLJGMC,处理机关名称,VARCHAR2,128,DE00065,处理机关单位名称,CLJGDWMC,字符型（string）,c..100
28,案(事)件要素,JJ_WFJL,CLSJ,处理时间,DATE,,DE00102,处理时间,CLSJ,日期时间型（datetime）,t6（hhmmss）
29,案(事)件要素,JJ_WFJL,JKBJ,交款标记,VARCHAR2,1,,,,,
30,案(事)件要素,JJ_WFJL,JKRQ,交款日期,DATE,,DE00101,交款日期,JKRQ,日期型（date）,d8（YYYYMMDD）
31,案(事)件要素,JJ_WFJL,XXLY,信息来源,VARCHAR2,1,,,,,
32,案(事)件要素,JJ_WFJL,GXSJ,更新时间,DATE,,DE00629,更新时间,GXSJ,日期时间型（datetime）,d14(YYYYMMDDhhmmss)
33,案(事)件要素,JJ_WFJL,DEP_ACTION_FLAG,操作标识,VARCHAR2,1,,,,,
34,案(事)件要素,JJ_WFJL,DEP_ACTION_TIME,操作时间,DATE,,DE00554,操作日期时间,CZRQSJ,日期时间型（datetime）,d14(YYYYMMDDhhmmss)
1,物品要素,JJ_WXHXPYSZXX,LSH,"业务流水号,6位管理部门+4位年份+4位顺序号",VARCHAR2,18,,,,,
2,物品要素,JJ_WXHXPYSZXX,TXZBH,通行证编号,VARCHAR2,20,,,,,
3,物品要素,JJ_WXHXPYSZXX,XSDW,销售单位名称,VARCHAR2,70,DE00065,销售单位名称,XSDWMC,字符型（string）,c..100
4,物品要素,JJ_WXHXPYSZXX,GMDWBH,组织机构代码证书编号（购买单位）,VARCHAR2,20,,,,,
5,物品要素,JJ_WXHXPYSZXX,GMDWMC,购买单位编号,VARCHAR2,70,,,,,
6,物品要素,JJ_WXHXPYSZXX,CYDWBH,承运单位编号，组织机构代码证书编号,VARCHAR2,10,,,,,
7,物品要素,JJ_WXHXPYSZXX,CYDWMC,承运单位名称,VARCHAR2,70,DE00065,承运单位名称,CYDWMC,字符型（string）,c..100
8,物品要素,JJ_WXHXPYSZXX,GMPZLX,购买凭证类型1：购买凭证，2：准购证，3：其他,VARCHAR2,1,,,,,
9,物品要素,JJ_WXHXPYSZXX,GMPZBH,购买凭证编号,VARCHAR2,50,,,,,
10,物品要素,JJ_WXHXPYSZXX,GMPZQYZBH,购买凭证企业自编号,VARCHAR2,50,,,,,
11,物品要素,JJ_WXHXPYSZXX,HPZL,号牌种类,VARCHAR2,2,DE00306,机动车号牌种类代码,JDCHPZLDM,字符型（string）,c2
12,物品要素,JJ_WXHXPYSZXX,HPHM,号牌号码,VARCHAR2,15,DE00307,机动车号牌号码,JDCHPHM,字符型（string）,c..15
13,物品要素,JJ_WXHXPYSZXX,GCHPHM,挂车号牌号码,VARCHAR2,64,DE00307,挂车号牌号码,GCHPHM,字符型（string）,c..15
14,物品要素,JJ_WXHXPYSZXX,SJZZL,实际载质量,NUMBER,11,,,,,
15,物品要素,JJ_WXHXPYSZXX,JSZH1,主驾驶证号,VARCHAR2,18,,,,,
16,物品要素,JJ_WXHXPYSZXX,JSRXM1,主驾驶人姓名,VARCHAR2,30,DE00002,主驾驶人姓名,ZJSRXM,字符型（string）,c..50
17,物品要素,JJ_WXHXPYSZXX,JSZH2,副驾驶证号,VARCHAR2,18,DE00001,公民身份号码,GMSFHM,字符型（string）,c18
18,物品要素,JJ_WXHXPYSZXX,JSRXM2,副驾驶人姓名,VARCHAR2,30,DE00002,副驾驶人姓名,FJSRXM,字符型（string）,c..50
19,物品要素,JJ_WXHXPYSZXX,YYRSFZMHM1,主押运人身份证号,VARCHAR2,18,DE00001,公民身份号码,GMSFHM,字符型（string）,c18
20,物品要素,JJ_WXHXPYSZXX,YYRXM1,主押运人姓名,VARCHAR2,30,DE00002,主押运人姓名,ZYYRXM,字符型（string）,c..50
21,物品要素,JJ_WXHXPYSZXX,YYRSFZMHM2,副押运人身份证号,VARCHAR2,18,DE00001,公民身份号码,GMSFHM,字符型（string）,c18
22,物品要素,JJ_WXHXPYSZXX,YYRXM2,副押运人姓名,VARCHAR2,30,DE00002,副押运人姓名,FYYRXM,字符型（string）,c..50
23,物品要素,JJ_WXHXPYSZXX,SQRQ,申请日期,DATE,,DE00590,申请日期,SQRQ,日期型（date）,d8(YYYYMMDD)
24,物品要素,JJ_WXHXPYSZXX,SFD,始发地行政区划,VARCHAR2,6,DE00070,始发地行政区划代码,SFDXZQHDM,字符型（string）,c6
25,物品要素,JJ_WXHXPYSZXX,SFDMC,始发地,VARCHAR2,32,DE00075,始发地地址名称,SFDDZMC,字符型（string）,c..100
26,物品要素,JJ_WXHXPYSZXX,MDD,目的地行政区划,VARCHAR2,6,DE00070,目的地行政区划代码,MDDXZQHDM,字符型（string）,c6
27,物品要素,JJ_WXHXPYSZXX,MDDMC,目的地,VARCHAR2,32,DE00075,目的地址名称,MDDDZMC,字符型（string）,c..100
28,物品要素,JJ_WXHXPYSZXX,SQFS,申请方式，1-目的地申请，2-始发地申请,VARCHAR2,1,,,,,
29,物品要素,JJ_WXHXPYSZXX,WTXH,委托序号,VARCHAR2,18,,,,,
30,物品要素,JJ_WXHXPYSZXX,LXXH,路线编号,VARCHAR2,10,,,,,
31,物品要素,JJ_WXHXPYSZXX,LX,途经运输通行路线的详细描述,VARCHAR2,2048,,,,,
32,物品要素,JJ_WXHXPYSZXX,YSKSSJ,运输开始时间，精确到分钟,DATE,,DE00102,运输开始时间,YSKSSJ,日期时间型（datetime）,t6（hhmmss）
33,物品要素,JJ_WXHXPYSZXX,YSJSSJ,运输截止时间，精确到分钟,DATE,,DE00102,运输截止时间,YSJZSJ,日期时间型（datetime）,t6（hhmmss）
34,物品要素,JJ_WXHXPYSZXX,TXQY,通行区域，1-本县市，2-本地市，3-本省，4-跨省,VARCHAR2,1,,,,,
35,物品要素,JJ_WXHXPYSZXX,JXQY,禁行区域指定路线,VARCHAR2,1024,,,,,
36,物品要素,JJ_WXHXPYSZXX,TJDD,途径大队,VARCHAR2,1024,,,,,
37,物品要素,JJ_WXHXPYSZXX,TJZD,途径支队,VARCHAR2,1024,,,,,
38,物品要素,JJ_WXHXPYSZXX,TJSF,途径省份,VARCHAR2,1024,,,,,
39,物品要素,JJ_WXHXPYSZXX,ZYLD,途经主要国省道,VARCHAR2,2048,,,,,
40,物品要素,JJ_WXHXPYSZXX,ZT,"状态，1-受理,2-已审核,3-已核发,4-已核销,5-撤销,6-作废",VARCHAR2,1,,,,,
41,物品要素,JJ_WXHXPYSZXX,SQRXM,申请人姓名,VARCHAR2,30,DE00002,申请人姓名,SQRXM,字符型（string）,c..50
42,物品要素,JJ_WXHXPYSZXX,SQRSFZMHM,申请人身份证明号码,VARCHAR2,18,DE00001,申请人公民身份号码,SQRGMSFHM,字符型（string）,c18
43,物品要素,JJ_WXHXPYSZXX,SQRLXDH,申请人联系电话,VARCHAR2,30,DE00216,申请人联系电话,SQRLXDH,字符型（string）,c..18
44,物品要素,JJ_WXHXPYSZXX,QFRQ,签发日期，精确到天（公安局长签发日期）,DATE,,DE00101,签发日期,QFRQ,日期型（date）,d8（YYYYMMDD）
45,物品要素,JJ_WXHXPYSZXX,QFRXM,签发人姓名，GA/T543，县级公安机关负责人,VARCHAR2,30,DE00002,签发人姓名,QFRXM,字符型（string）,c..50
46,物品要素,JJ_WXHXPYSZXX,YXQZ,有效期止,DATE,,DE00611,有效期截止日期,YXQJZRQ,日期型（date）,d8(YYYYMMDD)
47,物品要素,JJ_WXHXPYSZXX,GLBM,管理部门,VARCHAR2,12,,,,,
48,物品要素,JJ_WXHXPYSZXX,FZJG,支队发证机关（如苏A代表南京）,VARCHAR2,10,,,,,
49,物品要素,JJ_WXHXPYSZXX,YSWP,运输物品，项目之间以\t分割，品种编号、名称、数量之间以\r分割,VARCHAR2,512,,,,,
50,物品要素,JJ_WXHXPYSZXX,DEP_ACTION_FLAG,操作标识,VARCHAR2,1,,,,,
51,物品要素,JJ_WXHXPYSZXX,DEP_ACTION_TIME,操作时间,DATE,,DE00554,操作日期时间,CZRQSJ,日期时间型（datetime）,d14(YYYYMMDDhhmmss)
1,案(事)件要素,JJ_YBSGXXZB,SGBH,事故编号,VARCHAR2,16,,,,,
2,案(事)件要素,JJ_YBSGXXZB,XZQH,行政区划,VARCHAR2,10,DE00070,行政区划代码,XZQHDM,字符型（string）,c6
3,案(事)件要素,JJ_YBSGXXZB,DJBH,登记编号,VARCHAR2,15,,,,,
4,案(事)件要素,JJ_YBSGXXZB,XQ,星期,NUMBER,1,,,,,
5,案(事)件要素,JJ_YBSGXXZB,SGFSSJ,事故发生时间,DATE,,DE00102,事故发生时间,SGFSSJ,日期时间型（datetime）,t6（hhmmss）
6,案(事)件要素,JJ_YBSGXXZB,LH,路号,VARCHAR2,7,,,,,
7,案(事)件要素,JJ_YBSGXXZB,LM,路名,VARCHAR2,64,,,,,
8,案(事)件要素,JJ_YBSGXXZB,JDWZ,绝对位置,NUMBER,8,,,,,
9,案(事)件要素,JJ_YBSGXXZB,SGDD,事故地点,VARCHAR2,50,,,,,
10,案(事)件要素,JJ_YBSGXXZB,ZHDMWZ,在道路横断面位置,VARCHAR2,1,DE00348,在道路横断面位置代码,ZDLHDMWZDM,字符型（string）,c2
11,案(事)件要素,JJ_YBSGXXZB,ZYGLSS,中央隔离设施,VARCHAR2,1,,,,,
12,案(事)件要素,JJ_YBSGXXZB,DLAQSX,道路安全属性,VARCHAR2,1,DE00351,道路安全属性代码,DLAQSXDM,字符型（string）,c1
13,案(事)件要素,JJ_YBSGXXZB,JTXHFS,交通信号方式（控制）,VARCHAR2,5,,,,,
14,案(事)件要素,JJ_YBSGXXZB,FHSSLX,路侧防护设施类型,VARCHAR2,2,DE00352,道路路侧防护设施类型代码,DLLCFHSSLXDM,字符型（string）,c2
15,案(事)件要素,JJ_YBSGXXZB,DLWLGL,道路物理隔离,VARCHAR2,1,DE00385,道路物理隔离代码,DLWLGLDM,字符型（string）,c1
16,案(事)件要素,JJ_YBSGXXZB,LMZK,路面状况,VARCHAR2,1,DE00378,道路路面状况代码,DLLMZKDM,字符型（string）,c1
17,案(事)件要素,JJ_YBSGXXZB,LBQK,路表情况,VARCHAR2,2,DE00379,道路路表情况代码,DLLBQKDM,字符型（string）,c2
18,案(事)件要素,JJ_YBSGXXZB,LMJG,路面结构,VARCHAR2,1,,,,,
19,案(事)件要素,JJ_YBSGXXZB,LKLDLX,路口路段类型 ,VARCHAR2,2,,,,,
20,案(事)件要素,JJ_YBSGXXZB,DLXX,道路线型 ,VARCHAR2,2,,,,,
21,案(事)件要素,JJ_YBSGXXZB,DLLX,道路类型 ,VARCHAR2,2,DE00380,道路类型代码,DLLXDM,字符型（string）,c2
22,案(事)件要素,JJ_YBSGXXZB,KCR1,勘查人1,VARCHAR2,30,,,,,
23,案(事)件要素,JJ_YBSGXXZB,KCR2,勘查人2,VARCHAR2,30,,,,,
24,案(事)件要素,JJ_YBSGXXZB,BAR1,办案人1,VARCHAR2,30,,,,,
25,案(事)件要素,JJ_YBSGXXZB,BAR2,办案人2,VARCHAR2,30,,,,,
26,案(事)件要素,JJ_YBSGXXZB,SWRS,当场死亡人数,NUMBER,3,DE00829,当场死亡人数,DCSWRS,数值型（numeric）,n..10
27,案(事)件要素,JJ_YBSGXXZB,SWRSQ,抢救无效死亡人数,NUMBER,3,DE00829,抢救无效死亡人数,QJWXSWRS,数值型（numeric）,n..10
28,案(事)件要素,JJ_YBSGXXZB,SWRS24,24小时死亡人数,NUMBER,3,DE00829,24小时死亡人数,24XSSWRS,数值型（numeric）,n..10
29,案(事)件要素,JJ_YBSGXXZB,SSRS24,24小时受伤人数,NUMBER,3,DE00829,24小时受伤人数,24XSSSRS,数值型（numeric）,n..10
30,案(事)件要素,JJ_YBSGXXZB,SWRS3,3日内死亡人数,NUMBER,3,DE00829,3日内死亡人数,3RNSWRS,数值型（numeric）,n..10
31,案(事)件要素,JJ_YBSGXXZB,SSRS3,3日内受伤人数,NUMBER,3,DE00829,3日内受伤人数,3RNSSRS,数值型（numeric）,n..10
32,案(事)件要素,JJ_YBSGXXZB,SWRS7,7日内死亡人数,NUMBER,3,DE00829,7日内死亡人数,7RNSWRS,数值型（numeric）,n..10
33,案(事)件要素,JJ_YBSGXXZB,SSRS7,7日内受伤人数,NUMBER,3,DE00829,7日内受伤人数,7RNSSRS,数值型（numeric）,n..10
34,案(事)件要素,JJ_YBSGXXZB,SWRS30,30日内死亡人数,NUMBER,3,DE00829,30日内死亡人数,30RNSWRS,数值型（numeric）,n..10
35,案(事)件要素,JJ_YBSGXXZB,SSRS30,30日内受伤人数,NUMBER,3,DE00829,30日内受伤人数,30RNSSRS,数值型（numeric）,n..10
36,案(事)件要素,JJ_YBSGXXZB,SZRS,失踪人数,NUMBER,3,DE00829,失踪人数,SZRS,数值型（numeric）,n..10
37,案(事)件要素,JJ_YBSGXXZB,ZSRS,重伤人数,NUMBER,3,DE00829,重伤人数,ZSRS,数值型（numeric）,n..10
38,案(事)件要素,JJ_YBSGXXZB,QSRS,轻伤人数,NUMBER,3,DE00829,轻伤人数,QSRS,数值型（numeric）,n..10
39,案(事)件要素,JJ_YBSGXXZB,SSRS,受伤人数,NUMBER,3,DE00829,受伤人数,SSRS,数值型（numeric）,n..10
40,案(事)件要素,JJ_YBSGXXZB,JDCSL,机动车数量,NUMBER,3,,,,,
41,案(事)件要素,JJ_YBSGXXZB,FJDCSL,非机动车数量,NUMBER,3,,,,,
42,案(事)件要素,JJ_YBSGXXZB,XRSL,行人数量,NUMBER,3,,,,,
43,案(事)件要素,JJ_YBSGXXZB,XSGLBM,刑事管理部门,VARCHAR2,12,,,,,
44,案(事)件要素,JJ_YBSGXXZB,XSBADW,刑事办案单位,VARCHAR2,64,,,,,
45,案(事)件要素,JJ_YBSGXXZB,XSBAR,刑事办案人,VARCHAR2,32,,,,,
46,案(事)件要素,JJ_YBSGXXZB,ZJCCSS,直接财产损失,NUMBER,9,,,,,
47,案(事)件要素,JJ_YBSGXXZB,SGLX,事故类型,VARCHAR2,1,DE00343,道路交通事故类型代码,DLJTSGLXDM,字符型（string）,c1
48,案(事)件要素,JJ_YBSGXXZB,LWSGLX,路外事故类型,VARCHAR2,1,DE00343,道路交通路外事故类型代码,DLJTLWSGLXDM,字符型（string）,c1
49,案(事)件要素,JJ_YBSGXXZB,CCYYFL,事故初查原因分类,VARCHAR2,2,,,,,
50,案(事)件要素,JJ_YBSGXXZB,RDYYFL,事故认定原因分类,VARCHAR2,2,,,,,
51,案(事)件要素,JJ_YBSGXXZB,SGCCYY,事故初查原因,VARCHAR2,4,,,,,
52,案(事)件要素,JJ_YBSGXXZB,SGRDYY,事故认定原因,VARCHAR2,4,,,,,
53,案(事)件要素,JJ_YBSGXXZB,JYAQ,简要案情,VARCHAR2,2000,DE00100,简要案情,JYAQ,字符型（string）,..ul
54,案(事)件要素,JJ_YBSGXXZB,TQ,天气,VARCHAR2,1,,,,,
55,案(事)件要素,JJ_YBSGXXZB,NJD,能见度,VARCHAR2,1,,,,,
56,案(事)件要素,JJ_YBSGXXZB,XC,现场,VARCHAR2,1,,,,,
57,案(事)件要素,JJ_YBSGXXZB,SWSG,涉外事故1是2否,VARCHAR2,1,,,,,
58,案(事)件要素,JJ_YBSGXXZB,SGXT,事故形态 ,VARCHAR2,2,DE00344,道路交通事故形态代码,DLJTSGXTDM,字符型（string）,c2
59,案(事)件要素,JJ_YBSGXXZB,SFTY,是否逃逸 1-否 2-驾车逃逸 3-弃车逃逸 X,VARCHAR2,1,,,,,
60,案(事)件要素,JJ_YBSGXXZB,CLJSG,车辆间事故,VARCHAR2,1,,,,,
61,案(事)件要素,JJ_YBSGXXZB,DCSG,单车事故,VARCHAR2,2,,,,,
62,案(事)件要素,JJ_YBSGXXZB,PZFS,碰撞方式 1-单车 2-双车 3-多车 4-车人事故,VARCHAR2,1,,,,,
63,案(事)件要素,JJ_YBSGXXZB,TYSGZP,逃逸事故侦破1-是2-否,VARCHAR2,1,,,,,
64,案(事)件要素,JJ_YBSGXXZB,TYZPSJ,逃逸事故侦破时间,DATE,,,,,,
65,案(事)件要素,JJ_YBSGXXZB,DX,地形 ,VARCHAR2,1,,,,,
66,案(事)件要素,JJ_YBSGXXZB,ZMTJ,照明条件,VARCHAR2,1,DE00377,道路照明条件代码,DLZMTJDM,字符型（string）,c1
67,案(事)件要素,JJ_YBSGXXZB,TJR1,调解人1,VARCHAR2,30,,,,,
68,案(事)件要素,JJ_YBSGXXZB,TJR2,调解人2,VARCHAR2,30,,,,,
69,案(事)件要素,JJ_YBSGXXZB,YZWXP,是否运载危险物品1-是2否,VARCHAR2,1,,,,,
70,案(事)件要素,JJ_YBSGXXZB,YZWXPHG,运载危险品事故后果,VARCHAR2,1,DE00370,运载危险品事故后果代码,YZWXPSGHGDM,字符型（string）,c2
71,案(事)件要素,JJ_YBSGXXZB,CCLRSJ,初次录入时间,DATE,,DE00102,初次录入时间,CCLRSJ,日期时间型（datetime）,t6（hhmmss）
72,案(事)件要素,JJ_YBSGXXZB,JLLX, 1-快报记录 2-快报/全项记录 3全项记录 9 不立案,VARCHAR2,1,,,,,
73,案(事)件要素,JJ_YBSGXXZB,GXSJ,更新时间,DATE,,DE00102,更新时间,GXSJ,日期时间型（datetime）,t6（hhmmss）
74,案(事)件要素,JJ_YBSGXXZB,SB,上报 ,VARCHAR2,1,,,,,
75,案(事)件要素,JJ_YBSGXXZB,TJSGBH,统计事故编号,VARCHAR2,64,,,,,
76,案(事)件要素,JJ_YBSGXXZB,GLBM,管理部门,VARCHAR2,12,,,,,
77,案(事)件要素,JJ_YBSGXXZB,SFECSG,是否二次事故 1-是 2-否 * X,VARCHAR2,1,,,,,
78,案(事)件要素,JJ_YBSGXXZB,SFDXSG,是否典型事故 1-是 2-否,VARCHAR2,1,,,,,
79,案(事)件要素,JJ_YBSGXXZB,DSRZS,当事人总数,NUMBER,3,,,,,
80,案(事)件要素,JJ_YBSGXXZB,DEP_ACTION_FLAG,操作标识,VARCHAR2,1,,,,,
81,案(事)件要素,JJ_YBSGXXZB,DEP_ACTION_TIME,操作时间,DATE,,DE00554,操作时间,CZSJ,日期时间型（datetime）,t6（hhmmss）
1,案(事)件要素,JZ_JCJ,LYGS,来源公司表明信息来源公司，联宏-L，华南-H,VARCHAR2,1,,,,,
2,案(事)件要素,JZ_JCJ,JCJBH,接处警编号,VARCHAR2,38,,,,,
3,案(事)件要素,JZ_JCJ,AQXZ,警情性质,VARCHAR2,15,,,,,
4,案(事)件要素,JZ_JCJ,JQLB,警情类别,VARCHAR2,75,,,,,
5,案(事)件要素,JZ_JCJ,QRJQLB,确认警情类别,VARCHAR2,383,,,,,
6,案(事)件要素,JZ_JCJ,FASJSX,发案时间上限,VARCHAR2,14,,,,,
7,案(事)件要素,JZ_JCJ,FASJXX,发案时间下限,VARCHAR2,14,,,,,
8,案(事)件要素,JZ_JCJ,FXSJ,发现时间,VARCHAR2,14,DE00554,发现时间,FXSJ,日期时间型（datetime）,t6（hhmmss）
9,案(事)件要素,JZ_JCJ,JJSJ,接警时间,VARCHAR2,14,DE00554,接警时间,JJSJ,日期时间型（datetime）,t6（hhmmss）
10,案(事)件要素,JZ_JCJ,JJFS,接警方式,VARCHAR2,15,,,,,
11,案(事)件要素,JZ_JCJ,FADQH,发案地行政区划,VARCHAR2,150,DE00070,发案地行政区划代码,FADXZQHDM,字符型（string）,c6
12,案(事)件要素,JZ_JCJ,FADMP,发案地街道,VARCHAR2,150,,,,,
13,案(事)件要素,JZ_JCJ,FADXZ,发案地详址,VARCHAR2,150,DE00075,发案地详址,FADXZ,字符型（string）,c..100
14,案(事)件要素,JZ_JCJ,FSCS,发生场所,VARCHAR2,383,,,,,
15,案(事)件要素,JZ_JCJ,SSJQ,所属警区,VARCHAR2,75,,,,,
16,案(事)件要素,JZ_JCJ,SSSQ,所属社区,VARCHAR2,75,,,,,
17,案(事)件要素,JZ_JCJ,JJMJ,接警民警,VARCHAR2,75,,,,,
18,案(事)件要素,JZ_JCJ,JJDW,接警单位,VARCHAR2,18,,,,,
19,案(事)件要素,JZ_JCJ,JYQK,简要情况,VARCHAR2,4000,,,,,
20,案(事)件要素,JZ_JCJ,SSRS,受伤人数,NUMBER,22,DE00829,受伤人数,SSRS,数值型（numeric）,n..10
21,案(事)件要素,JZ_JCJ,SWRS,死亡人数,NUMBER,22,DE00829,死亡人数,SWRS,数值型（numeric）,n..10
22,案(事)件要素,JZ_JCJ,SSJZ,损失价值,NUMBER,16,,,,,
23,案(事)件要素,JZ_JCJ,CLQK,处理情况,VARCHAR2,4000,,,,,
24,案(事)件要素,JZ_JCJ,SQLD,审批领导,VARCHAR2,150,,,,,
25,案(事)件要素,JZ_JCJ,LDQS,领导批示,VARCHAR2,1024,,,,,
26,案(事)件要素,JZ_JCJ,PSSJ,批示时间,VARCHAR2,14,DE00102,批示时间,PSSJ,日期时间型（datetime）,t6（hhmmss）
27,案(事)件要素,JZ_JCJ,TBR,填表人,VARCHAR2,45,DE00002,填表人姓名,TBRXM,字符型（string）,c..50
28,案(事)件要素,JZ_JCJ,BZ,备注,VARCHAR2,4000,,,,,
29,案(事)件要素,JZ_JCJ,RKSJ,入情报库时间,DATE,,DE00102,入情报库时间,RQBKSJ,日期时间型（datetime）,t6（hhmmss）
30,案(事)件要素,JZ_JCJ,ZHXGSJ,最后修改时间,DATE,,DE00102,最后修改时间,ZHXGSJ,日期时间型（datetime）,t6（hhmmss）
31,案(事)件要素,JZ_JCJ,SCBZ,"删除标志,0-正常，1-删除",VARCHAR2,1,,,,,
32,案(事)件要素,JZ_JCJ,DEP_ACTION_FLAG,操作标识,VARCHAR2,1,,,,,
33,案(事)件要素,JZ_JCJ,DEP_ACTION_TIME,操作时间,DATE,,DE00554,操作日期时间,CZRQSJ,日期时间型（datetime）,d14(YYYYMMDDhhmmss)
34,案(事)件要素,JZ_JCJ,WYBZ,唯一标识,VARCHAR2,75,,,,,
35,案(事)件要素,JZ_JCJ,TBSJ,填报时间,VARCHAR2,14,DE00554,填报时间,TBSJ,日期时间型（datetime）,t6（hhmmss）
1,人员要素,XZ_SQFZXYR,RYBH,人员编号,VARCHAR2,23,,,,,
2,人员要素,XZ_SQFZXYR,ZTRYBH,在逃人员编号,VARCHAR2,23,DE00051,在逃人员编号,ZTRYBH,字符型（string）,c23
3,人员要素,XZ_SQFZXYR,RYZT,人员状态,VARCHAR2,1,DE00052,在逃人员类型代码,ZTRYLXDM,字符型（string）,c2
4,人员要素,XZ_SQFZXYR,ZFQZJS,制贩枪支角色,VARCHAR2,20,,,,,
5,人员要素,XZ_SQFZXYR,XM,姓名,VARCHAR2,30,DE00002,姓名,XM,字符型（string）,c..50
6,人员要素,XZ_SQFZXYR,BMHCH,别名或绰号,VARCHAR2,30,DE00030,别名/绰号,BMCH,字符型（string）,c..50
7,人员要素,XZ_SQFZXYR,XB,性别,VARCHAR2,1,DE00007,性别代码,XBDM,字符型（string）,c1
8,人员要素,XZ_SQFZXYR,CSRQSX,出生日期初值,DATE,,DE00008,出生日期初值,CSRQCZ,日期型（date）,d8（YYYYMMDD）
9,人员要素,XZ_SQFZXYR,CSRQXX,出生日期终值,DATE,,DE00008,出生日期终值,CSRQZZ,日期型（date）,d8（YYYYMMDD）
10,人员要素,XZ_SQFZXYR,HJD,户籍地,VARCHAR2,6,DE00010,出生地省市县代码,CSDSSXDM,字符型（string）,c6
11,人员要素,XZ_SQFZXYR,HJDXZ,户籍地详址,VARCHAR2,200,DE00076,户籍地区划内详细地址,HJDQHNXXDZ,字符型（string）,c..100
12,人员要素,XZ_SQFZXYR,JZD,居住地,VARCHAR2,6,,,,,
13,人员要素,XZ_SQFZXYR,JZDXZ,居住地详址,VARCHAR2,200,DE00076,居住地区划内详细地址,JZDQHNXXDZ,字符型（string）,c..100
14,人员要素,XZ_SQFZXYR,SG,身高,VARCHAR2,3,DE00012,身高,SG,数值型（numeric）,n..3
15,人员要素,XZ_SQFZXYR,KY,口音,VARCHAR2,21,,,,,
16,人员要素,XZ_SQFZXYR,TMTZ,体貌特征,VARCHAR2,15,,,,,
17,人员要素,XZ_SQFZXYR,TBBJ,体表标记,VARCHAR2,24,,,,,
18,人员要素,XZ_SQFZXYR,QTTZ,其他特征,VARCHAR2,500,,,,,
19,人员要素,XZ_SQFZXYR,SFZH,公民身份号码,VARCHAR2,18,DE00001,公民身份号码,GMSFHM,字符型（string）,c18
20,人员要素,XZ_SQFZXYR,QTZJY,其他证件一,VARCHAR2,2,,,,,
21,人员要素,XZ_SQFZXYR,QTZJYHM,其他证件一号码,VARCHAR2,40,,,,,
22,人员要素,XZ_SQFZXYR,QTZJE,其他证件二,VARCHAR2,2,,,,,
23,人员要素,XZ_SQFZXYR,QTZJEHM,其他证件二号码,VARCHAR2,40,,,,,
24,人员要素,XZ_SQFZXYR,ZHRQ,抓获日期,DATE,,,,,,
25,人员要素,XZ_SQFZXYR,ZP,照片,BLOB,,DE00028,相片,XP,二进制型（binary）,bn（JPEG）
26,人员要素,XZ_SQFZXYR,AJBH,案件编号,VARCHAR2,23,DE00092,案件编号,AJBH,字符型（string）,c23
27,人员要素,XZ_SQFZXYR,XLH,序列号,NUMBER,8,,,,,
28,人员要素,XZ_SQFZXYR,XMPY,姓名拼音,VARCHAR2,210,DE00003,姓名汉语拼音,XMHYPY,字符型（string）,c..150
29,人员要素,XZ_SQFZXYR,BMHCHPY,别名或绰号拼音,VARCHAR2,210,,,,,
30,人员要素,XZ_SQFZXYR,DEP_ACTION_FLAG,操作标识,VARCHAR2,1,,,,,
31,人员要素,XZ_SQFZXYR,DEP_ACTION_TIME,操作时间,DATE,,,,,,
1,人员要素,XZ_SQPAXX,PXABZ,破销案标志,VARCHAR2,1,,,,,
2,人员要素,XZ_SQPAXX,PXADWDM,破销案单位代码,VARCHAR2,12,,,,,
3,人员要素,XZ_SQPAXX,PXADWXC,破销案单位详称,VARCHAR2,100,,,,,
4,人员要素,XZ_SQPAXX,PXARQ,破销案日期,DATE,,,,,,
5,人员要素,XZ_SQPAXX,CXYY,撤销原因,VARCHAR2,200,,,,,
6,人员要素,XZ_SQPAXX,FZXYRSL,犯罪嫌疑人数量,NUMBER,4,,,,,
7,人员要素,XZ_SQPAXX,JHZSQSL,缴获制式枪数量,NUMBER,4,,,,,
8,人员要素,XZ_SQPAXX,JHFZQSL,缴获仿制枪数量,NUMBER,4,,,,,
9,人员要素,XZ_SQPAXX,JHQTQSL,缴获其它枪数量,NUMBER,4,,,,,
10,人员要素,XZ_SQPAXX,ZAGC,作案过程,VARCHAR2,1000,,,,,
11,人员要素,XZ_SQPAXX,TBR,填表人,VARCHAR2,30,DE00002,填表人姓名,TBRXM,字符型（string）,c..50
